"","year","WorldPopulation","percentage_growth"
"1","1960",3032160395,NA
"2","1961",3073368589,1.35903740672663
"3","1962",3126509809,1.72908710625206
"4","1963",3191786428,2.08784308982796
"5","1964",3257459749,2.05757253755701
"6","1965",3324545319,2.05944432684378
"7","1966",3394783653,2.11272000410351
"8","1967",3464689185,2.05920433068611
"9","1968",3535355316,2.03960953571078
"10","1969",3610178793,2.11643442630421
"11","1970",3685753341,2.09337410508688
"12","1971",3763393039,2.10648111300186
"13","1972",3840269676,2.0427480256069
"14","1973",3916243701,1.97835129847272
"15","1974",3992871281,1.95666015320838
"16","1975",4067740568,1.87507389372315
"17","1976",4140647339,1.79231614654929
"18","1977",4213305195,1.75474630055182
"19","1978",4287155675,1.75279208559683
"20","1979",4362863944,1.76593235094035
"21","1980",4439337768,1.75283540769522
"22","1981",4517802648,1.76749065064607
"23","1982",4599181616,1.80129532740935
"24","1983",4681262096,1.78467577176017
"25","1984",4763043102,1.7469862682946
"26","1985",4846338372,1.74878262103117
"27","1986",4932113625,1.76989814610493
"28","1987",5020001104,1.78194351716704
"29","1988",5108813278,1.76916642367336
"30","1989",5197758286,1.74101113428871
"31","1990",5288103214,1.73815177676386
"32","1991",5375488619,1.65249053325304
"33","1992",5459753865,1.56758300449487
"34","1993",5544873088,1.55903040878199
"35","1994",5628791176,1.51343568496838
"36","1995",5713794372,1.51015010758324
"37","1996",5796632117,1.4497851971352
"38","1997",5879433900,1.42844640351014
"39","1998",5961166037,1.39013616600061
"40","1999",6041818586,1.35296598852309
"41","2000",6121682736,1.32185614088215
"42","2001",6201340258,1.30123571304268
"43","2002",6280530065,1.27697890625888
"44","2003",6359899296,1.26373459212156
"45","2004",6439825381,1.25671934853228
"46","2005",6520298763,1.24962056016966
"47","2006",6601476541,1.24500089567445
"48","2007",6683223772,1.23831737479168
"49","2008",6766296679,1.24300651652638
"50","2009",6849569339,1.23069773541628
"51","2010",6932869743,1.21614075100613
"52","2011",7014983968,1.18441897863304
"53","2012",7099557649,1.20561474389388
"54","2013",7185137526,1.20542548185455
"55","2014",7271322821,1.1994940206521
"56","2015",7357559450,1.18598267637002
"57","2016",7444157356,1.17699227017459
"58","2017",7530360149,1.15799262263741
"59","Area",NA,NA
