pop,year
13357,1700
14689,1770
16257,1795
17237,1800
17587,1805
17943,1810
18381,1816
18967,1820
19727,1825
21212,1833
21514,1835
21975,1838
22936,1844
23274,1846
23617,1848
24351,1852
24102,1854
23855,1856
24857,1858
24910,1859
24964,1860
25017,1861
24273.8,1862
24476.9,1863
24681,1864
24882.6,1865
25097.2,1866
25344.2,1867
25404.7,1868
25527.9,1869
25766.2,1870
26801.2,1871
26880,1872
26994.3,1873
27165.6,1874
27289.9,1875
27482.2,1876
27769.5,1877
28010.7,1878
28209.6,1879
28437.1,1880
28525,1881
28459.6,1882
28773.4,1883
29010.7,1884
29361,1885
29669.8,1886
29943.6,1887
30260.1,1888
30565.3,1889
30947.3,1890
30158.4,1891
30347.3,1892
30535.8,1893
30724.9,1894
30913.7,1895
31102.8,1896
31290.5,1897
31479.2,1898
31667.9,1899
32475,1900
32045.4,1901
32595.6,1902
32961.2,1903
33218.3,1904
34761,1905
33733.2,1906
33640.7,1907
33909.8,1908
34269.8,1909
34565.2,1910
35131.8,1911
35269.2,1912
35239,1913
35597.8,1914
36120.1,1915
36546.4,1916
36602.4,1917
36582.9,1918
36370,1919
37837,1920
38756,1921
38790,1922
39136,1923
39401,1924
39693,1925
39584.6,1926
39681,1927
40054,1928
40445,1929
40703,1930
41176.7,1931
41580,1932
41930,1933
41806,1934
42217,1935
42444.6,1936
43578,1937
43843,1938
44394,1939
43787,1940
44830,1941
45387,1942
44830,1943
44940,1944
45415,1945
45380,1946
45720,1947
46381,1948
46733,1949
47104,1950
47417,1951
47666,1952
47957,1953
48299,1954
48633,1955
48920,1956
49181,1957
49475,1958
50025.5,1959
50373.9,1960
50523,1961
50843,1962
51198,1963
51906.8,1964
52317.9,1965
52332,1966
52667,1967
52987,1968
53685.3,1969
53958.4,1970
54005,1971
54411,1972
54912,1973
55293,1974
55589,1975
56168,1976
56461,1977
56697,1978
56388.5,1979
56479.3,1980
56541.3,1981
56615.8,1982
56635.9,1983
56667.5,1984
56681,1985
56669.6,1986
56678,1987
56697.5,1988
56711.9,1989
56762.7,1990
56757,1991
56960.3,1992
57245,1993
57154,1994
57204,1995
57380,1996
57523,1997
57589,1998
57646,1999
57634.3,2000
56305.6,2001
57059,2002
,2003
,2004
,2005
,2006
,2007
,2008
,2009
,2010
,2011
,2012
,2013
